task_id,created_step,assigned_step,completed_step,status,time_unassigned,time_in_progress
0,58.0,58,77,completed,0.0,19
1,89.0,89,130,completed,0.0,41
2,118.0,118,131,completed,0.0,13
3,121.0,121,176,completed,0.0,55
4,139.0,139,187,completed,0.0,48
5,156.0,156,226,completed,0.0,70
6,161.0,161,235,completed,0.0,74
7,219.0,219,265,completed,0.0,46
8,258.0,258,317,completed,0.0,59
10,311.0,311,368,completed,0.0,57
12,,350,388,completed,,38
11,347.0,347,390,completed,0.0,43
14,,388,398,completed,,10
13,,368,404,completed,,36
17,417.0,417,431,completed,0.0,14
16,417.0,417,441,completed,0.0,24
21,479.0,479,507,completed,0.0,28
19,474.0,474,516,completed,0.0,42
20,475.0,475,534,completed,0.0,59
25,521.0,534,557,completed,13.0,23
22,479.0,507,559,completed,28.0,52
26,532.0,557,569,completed,25.0,12
24,520.0,520,574,completed,0.0,54
28,555.0,559,580,completed,4.0,21
30,632.0,632,685,completed,0.0,53
32,663.0,663,714,completed,0.0,51
34,696.0,696,725,completed,0.0,29
33,682.0,682,731,completed,0.0,49
35,705.0,714,776,completed,9.0,62
36,710.0,725,777,completed,15.0,52
37,710.0,731,783,completed,21.0,52
39,762.0,776,805,completed,14.0,29
40,776.0,777,805,completed,1.0,28
41,793.0,793,815,completed,0.0,22
42,824.0,824,870,completed,0.0,46
47,875.0,875,900,completed,0.0,25
46,875.0,875,928,completed,0.0,53
49,925.0,925,960,completed,0.0,35
