task_id,created_step,assigned_step,completed_step,status,time_unassigned,time_in_progress
0,58.0,58,82,completed,0.0,24
3,86.0,86,101,completed,0.0,15
1,63.0,63,122,completed,0.0,59
6,100.0,100,124,completed,0.0,24
5,96.0,96,139,completed,0.0,43
2,81.0,81,146,completed,0.0,65
8,103.0,122,156,completed,19.0,34
4,91.0,91,156,completed,0.0,65
9,108.0,139,167,completed,31.0,28
7,103.0,103,173,completed,0.0,70
11,126.0,156,180,completed,30.0,24
10,115.0,146,187,completed,31.0,41
14,157.0,187,206,completed,30.0,19
13,132.0,180,209,completed,48.0,29
12,127.0,167,222,completed,40.0,55
17,215.0,215,232,completed,0.0,17
18,218.0,218,232,failed,0.0,14
16,201.0,206,239,completed,5.0,33
15,179.0,179,259,completed,0.0,80
20,231.0,231,270,completed,0.0,39
22,239.0,239,270,completed,0.0,31
21,237.0,237,278,failed,0.0,41
23,249.0,249,297,completed,0.0,48
19,226.0,226,307,completed,0.0,81
25,259.0,270,312,completed,11.0,42
26,265.0,270,316,completed,5.0,46
24,253.0,259,343,failed,6.0,84
28,275.0,297,364,completed,22.0,67
30,278.0,312,368,completed,34.0,56
32,329.0,329,373,completed,0.0,44
35,,368,391,completed,,23
36,,373,397,completed,,24
37,,391,401,completed,,10
38,366.0,397,415,completed,31.0,18
34,335.0,364,419,completed,29.0,55
39,370.0,401,429,completed,31.0,28
40,372.0,415,453,completed,43.0,38
41,376.0,419,469,completed,43.0,50
42,378.0,429,469,completed,51.0,40
45,384.0,469,499,completed,85.0,30
44,382.0,453,511,completed,71.0,58
46,388.0,469,516,completed,81.0,47
47,405.0,499,542,completed,94.0,43
48,411.0,511,545,completed,100.0,34
52,426.0,542,572,completed,116.0,30
53,438.0,545,579,completed,107.0,34
50,414.0,516,590,completed,102.0,74
54,443.0,572,614,failed,129.0,42
55,476.0,579,622,completed,103.0,43
58,508.0,614,639,completed,106.0,25
56,479.0,590,644,completed,111.0,54
59,511.0,622,658,completed,111.0,36
62,533.0,639,665,completed,106.0,26
65,546.0,658,687,completed,112.0,29
66,552.0,665,706,completed,113.0,41
63,537.0,644,706,completed,107.0,62
67,557.0,687,722,completed,130.0,35
69,569.0,706,729,completed,137.0,23
68,566.0,706,731,completed,140.0,25
74,619.0,731,771,completed,112.0,40
70,588.0,722,777,completed,134.0,55
72,607.0,729,785,completed,122.0,56
75,624.0,771,803,completed,147.0,32
76,632.0,777,822,completed,145.0,45
77,635.0,785,825,completed,150.0,40
78,638.0,803,845,completed,165.0,42
79,645.0,822,854,completed,177.0,32
82,671.0,845,865,completed,174.0,20
84,697.0,854,876,completed,157.0,22
85,698.0,865,892,completed,167.0,27
81,667.0,825,895,completed,158.0,70
86,698.0,876,914,completed,178.0,38
88,706.0,895,923,completed,189.0,28
87,706.0,892,938,completed,186.0,46
90,748.0,914,942,completed,166.0,28
91,750.0,923,950,completed,173.0,27
95,797.0,950,976,completed,153.0,26
94,790.0,942,982,completed,152.0,40
93,776.0,938,989,completed,162.0,51
