task_id,created_step,assigned_step,completed_step,status,time_unassigned,time_in_progress
0,3.0,3,26,completed,0.0,23
1,6.0,6,39,failed,0.0,33
2,22.0,22,68,completed,0.0,46
3,25.0,26,73,completed,1.0,47
9,61.0,68,80,completed,7.0,12
5,44.0,44,84,failed,0.0,40
4,40.0,40,91,completed,0.0,51
6,46.0,46,97,completed,0.0,51
8,59.0,59,104,completed,0.0,45
11,71.0,80,105,completed,9.0,25
10,65.0,73,105,completed,8.0,32
15,82.0,105,129,completed,23.0,24
14,75.0,105,134,completed,30.0,29
12,72.0,91,134,completed,19.0,43
7,58.0,84,136,completed,26.0,52
13,74.0,104,145,completed,30.0,41
20,101.0,134,149,completed,33.0,15
16,88.0,97,166,completed,9.0,69
21,102.0,145,177,completed,43.0,32
22,105.0,149,181,completed,44.0,32
25,123.0,166,183,completed,43.0,17
19,97.0,129,184,completed,32.0,55
18,96.0,136,189,completed,40.0,53
26,130.0,184,209,completed,54.0,25
17,95.0,134,219,completed,39.0,85
24,110.0,181,222,completed,71.0,41
23,109.0,177,222,completed,68.0,45
28,131.0,189,225,completed,58.0,36
27,131.0,183,237,completed,52.0,54
31,141.0,222,254,completed,81.0,32
29,132.0,209,259,completed,77.0,50
36,166.0,225,269,completed,59.0,44
30,141.0,222,271,completed,81.0,49
33,148.0,259,287,completed,111.0,28
37,168.0,237,290,failed,69.0,53
35,158.0,219,293,failed,61.0,74
34,149.0,271,300,completed,122.0,29
32,146.0,254,301,completed,108.0,47
40,176.0,287,320,completed,111.0,33
43,180.0,300,323,completed,120.0,23
38,169.0,269,324,completed,100.0,55
39,171.0,290,330,completed,119.0,40
46,192.0,320,343,completed,128.0,23
48,195.0,343,360,completed,148.0,17
45,187.0,301,362,completed,114.0,61
47,194.0,323,378,completed,129.0,55
49,196.0,360,400,completed,164.0,40
50,198.0,362,403,completed,164.0,41
51,199.0,378,412,completed,179.0,34
53,223.0,403,426,completed,180.0,23
52,220.0,400,429,completed,180.0,29
54,223.0,412,441,completed,189.0,29
58,231.0,426,454,completed,195.0,28
60,236.0,441,457,completed,205.0,16
59,236.0,429,461,completed,193.0,32
63,251.0,457,499,completed,206.0,42
64,252.0,461,508,completed,209.0,47
61,241.0,454,514,completed,213.0,60
68,262.0,514,539,completed,252.0,25
65,255.0,499,541,completed,244.0,42
67,260.0,508,547,completed,248.0,39
70,266.0,539,554,completed,273.0,15
71,268.0,541,582,completed,273.0,41
73,275.0,554,591,failed,279.0,37
72,270.0,547,602,completed,277.0,55
76,280.0,602,627,completed,322.0,25
74,277.0,582,634,completed,305.0,52
77,281.0,627,660,completed,346.0,33
75,279.0,591,662,completed,312.0,71
78,282.0,634,683,completed,352.0,49
79,282.0,660,689,completed,378.0,29
83,304.0,689,713,completed,385.0,24
80,284.0,662,720,completed,378.0,58
82,301.0,683,729,completed,382.0,46
85,326.0,720,741,completed,394.0,21
84,309.0,713,767,completed,404.0,54
87,332.0,729,771,completed,397.0,42
88,335.0,741,797,completed,406.0,56
90,342.0,771,807,completed,429.0,36
92,,807,823,completed,,16
89,340.0,767,826,completed,427.0,59
93,,823,833,completed,,10
91,343.0,797,845,completed,454.0,48
94,,826,854,completed,,28
95,356.0,833,866,completed,477.0,33
97,361.0,854,885,completed,493.0,31
98,364.0,866,887,completed,502.0,21
96,359.0,845,891,failed,486.0,46
101,379.0,887,922,completed,508.0,35
102,379.0,891,926,completed,512.0,35
99,373.0,885,931,completed,512.0,46
103,381.0,922,941,completed,541.0,19
107,394.0,941,959,completed,547.0,18
106,389.0,931,976,completed,542.0,45
104,382.0,926,994,completed,544.0,68
