task_id,created_step,assigned_step,completed_step,status,time_unassigned,time_in_progress
0,26.0,26,49,completed,0.0,23
1,27.0,27,55,completed,0.0,28
2,29.0,29,58,completed,0.0,29
7,57.0,57,81,completed,0.0,24
5,51.0,51,95,completed,0.0,44
6,54.0,54,97,completed,0.0,43
4,47.0,47,98,completed,0.0,51
8,59.0,59,99,completed,0.0,40
9,64.0,64,99,completed,0.0,35
3,41.0,41,105,completed,0.0,64
11,82.0,95,112,completed,13.0,17
10,67.0,81,117,completed,14.0,36
13,92.0,99,136,completed,7.0,37
12,85.0,98,136,completed,13.0,38
14,105.0,105,139,completed,0.0,34
16,114.0,114,144,completed,0.0,30
18,124.0,124,156,completed,0.0,32
24,148.0,148,164,completed,0.0,16
23,145.0,145,165,failed,0.0,20
15,110.0,110,171,completed,0.0,61
20,131.0,131,180,completed,0.0,49
19,130.0,130,187,failed,0.0,57
17,124.0,144,194,completed,20.0,50
29,173.0,173,198,completed,0.0,25
26,163.0,163,208,completed,0.0,45
31,183.0,183,214,completed,0.0,31
33,194.0,194,221,completed,0.0,27
32,193.0,193,234,failed,0.0,41
28,171.0,171,236,completed,0.0,65
22,141.0,194,237,completed,53.0,43
21,134.0,171,240,failed,37.0,69
36,235.0,235,248,completed,0.0,13
25,152.0,237,260,completed,85.0,23
34,220.0,220,269,completed,0.0,49
35,233.0,233,286,completed,0.0,53
27,169.0,240,287,completed,71.0,47
37,243.0,243,293,completed,0.0,50
41,275.0,275,296,completed,0.0,21
40,272.0,272,308,completed,0.0,36
30,181.0,260,308,completed,79.0,48
39,270.0,270,312,completed,0.0,42
46,298.0,308,322,completed,10.0,14
45,283.0,296,325,completed,13.0,29
38,266.0,266,326,failed,0.0,60
48,301.0,312,327,completed,11.0,15
42,277.0,286,331,completed,9.0,45
52,313.0,325,339,completed,12.0,14
53,316.0,326,346,completed,10.0,20
43,281.0,287,347,completed,6.0,60
44,281.0,293,352,completed,12.0,59
49,302.0,322,371,completed,20.0,49
54,321.0,327,372,completed,6.0,45
56,329.0,331,375,completed,2.0,44
58,349.0,349,385,completed,0.0,36
59,,352,389,completed,,37
57,342.0,342,389,completed,0.0,47
60,,371,395,completed,,24
68,384.0,385,410,completed,1.0,25
72,395.0,395,418,completed,0.0,23
70,391.0,391,430,completed,0.0,39
66,374.0,375,431,completed,1.0,56
69,388.0,389,432,completed,1.0,43
61,352.0,372,433,completed,20.0,61
76,412.0,412,456,completed,0.0,44
79,440.0,440,459,completed,0.0,19
77,420.0,420,466,completed,0.0,46
78,423.0,430,482,completed,7.0,52
81,449.0,449,496,completed,0.0,47
83,459.0,459,497,completed,0.0,38
85,461.0,461,501,completed,0.0,40
82,455.0,455,507,completed,0.0,52
86,466.0,466,514,completed,0.0,48
87,473.0,482,522,completed,9.0,40
88,476.0,496,522,completed,20.0,26
94,501.0,507,524,completed,6.0,17
92,494.0,497,525,completed,3.0,28
93,497.0,501,531,completed,4.0,30
101,530.0,531,545,completed,1.0,14
96,508.0,522,547,completed,14.0,25
97,519.0,522,550,completed,3.0,28
95,504.0,514,561,completed,10.0,47
100,524.0,525,563,completed,1.0,38
99,524.0,524,581,completed,0.0,57
102,530.0,545,586,completed,15.0,41
104,570.0,570,587,completed,0.0,17
103,541.0,547,602,completed,6.0,55
105,571.0,571,611,completed,0.0,40
116,615.0,615,634,completed,0.0,19
110,602.0,602,636,completed,0.0,34
113,611.0,611,636,completed,0.0,25
114,613.0,613,644,completed,0.0,31
109,599.0,599,646,completed,0.0,47
115,615.0,615,653,completed,0.0,38
122,643.0,644,656,completed,1.0,12
118,629.0,636,675,completed,7.0,39
123,647.0,647,680,completed,0.0,33
117,627.0,634,687,completed,7.0,53
121,640.0,640,692,completed,0.0,52
125,660.0,660,693,completed,0.0,33
127,661.0,661,706,completed,0.0,45
130,670.0,680,713,completed,10.0,33
128,667.0,675,722,completed,8.0,47
131,671.0,687,729,completed,16.0,42
139,698.0,722,734,completed,24.0,12
135,686.0,693,743,completed,7.0,50
134,680.0,692,745,completed,12.0,53
140,703.0,729,760,completed,26.0,31
137,689.0,713,763,completed,24.0,50
136,688.0,706,765,completed,18.0,59
146,748.0,763,776,failed,15.0,13
141,708.0,734,777,completed,26.0,43
142,709.0,743,787,completed,34.0,44
143,717.0,745,792,completed,28.0,47
148,762.0,776,796,completed,14.0,20
147,759.0,765,809,completed,6.0,44
150,767.0,787,811,completed,20.0,24
149,764.0,777,813,completed,13.0,36
145,746.0,760,821,completed,14.0,61
156,807.0,813,830,completed,6.0,17
154,800.0,811,830,completed,11.0,19
152,790.0,796,838,failed,6.0,42
160,823.0,830,846,completed,7.0,16
162,826.0,830,847,completed,4.0,17
151,769.0,792,849,failed,23.0,57
153,798.0,809,850,completed,11.0,41
157,809.0,821,855,completed,12.0,34
163,831.0,838,858,completed,7.0,20
50,304.0,831,866,completed,527.0,35
51,305.0,844,883,completed,539.0,39
167,855.0,855,889,completed,0.0,34
164,834.0,846,891,completed,12.0,45
165,850.0,850,895,completed,0.0,45
168,863.0,863,906,failed,0.0,43
166,852.0,852,908,completed,0.0,56
169,865.0,865,913,completed,0.0,48
170,885.0,889,915,completed,4.0,26
172,897.0,897,930,completed,0.0,33
176,912.0,912,935,completed,0.0,23
171,889.0,891,935,completed,2.0,44
177,912.0,913,949,completed,1.0,36
179,924.0,924,951,failed,0.0,27
55,323.0,866,955,completed,543.0,89
181,932.0,932,958,completed,0.0,26
