task_id,created_step,assigned_step,completed_step,status,time_unassigned,time_in_progress
0,15.0,15,57,completed,0.0,42
4,40.0,40,64,failed,0.0,24
8,59.0,59,86,completed,0.0,27
2,37.0,37,87,completed,0.0,50
3,38.0,38,87,completed,0.0,49
6,52.0,52,94,completed,0.0,42
7,54.0,54,96,failed,0.0,42
9,72.0,72,108,completed,0.0,36
1,37.0,37,109,completed,0.0,72
12,81.0,87,117,completed,6.0,30
5,51.0,51,119,completed,0.0,68
11,76.0,86,129,completed,10.0,43
13,84.0,94,147,completed,10.0,53
14,101.0,101,150,completed,0.0,49
18,123.0,123,156,completed,0.0,33
10,76.0,87,161,completed,11.0,74
20,142.0,147,164,completed,5.0,17
17,115.0,117,169,completed,2.0,52
23,158.0,161,177,completed,3.0,16
19,132.0,132,178,completed,0.0,46
15,106.0,108,178,completed,2.0,70
16,113.0,113,184,failed,0.0,71
29,182.0,182,204,completed,0.0,22
25,166.0,169,208,completed,3.0,39
27,176.0,178,210,completed,2.0,32
22,158.0,158,210,completed,0.0,52
24,163.0,164,213,completed,1.0,49
21,149.0,150,216,completed,1.0,66
31,186.0,210,229,completed,24.0,19
26,167.0,177,235,completed,10.0,58
37,214.0,216,241,completed,2.0,25
30,183.0,184,246,completed,1.0,62
28,179.0,208,250,completed,29.0,42
34,204.0,213,257,completed,9.0,44
35,207.0,229,257,completed,22.0,28
33,198.0,204,263,completed,6.0,59
32,194.0,210,267,completed,16.0,57
36,213.0,250,269,completed,37.0,19
38,215.0,235,282,completed,20.0,47
39,216.0,241,286,completed,25.0,45
40,217.0,246,302,completed,29.0,56
41,218.0,257,307,completed,39.0,50
44,260.0,269,312,completed,9.0,43
42,246.0,257,313,completed,11.0,56
43,258.0,267,320,failed,9.0,53
53,304.0,320,344,completed,16.0,24
47,273.0,312,345,failed,39.0,33
49,293.0,293,346,completed,0.0,53
45,260.0,263,347,failed,3.0,84
46,265.0,307,351,completed,42.0,44
52,301.0,313,364,completed,12.0,51
55,306.0,345,372,completed,39.0,27
56,309.0,351,392,completed,42.0,41
54,304.0,344,396,completed,40.0,52
59,316.0,372,414,completed,56.0,42
57,313.0,364,419,failed,51.0,55
62,320.0,392,431,completed,72.0,39
63,324.0,396,445,completed,72.0,49
64,331.0,414,465,completed,83.0,51
66,339.0,419,475,completed,80.0,56
68,,445,478,completed,,33
67,342.0,431,481,completed,89.0,50
71,,478,488,completed,,10
69,,465,498,completed,,33
70,,475,505,completed,,30
75,388.0,498,514,failed,110.0,16
74,386.0,488,516,completed,102.0,28
80,415.0,516,534,completed,101.0,18
72,378.0,481,535,completed,103.0,54
77,402.0,505,536,completed,103.0,31
79,407.0,514,545,completed,107.0,31
82,430.0,535,577,completed,105.0,42
81,427.0,534,579,completed,107.0,45
84,434.0,545,582,completed,111.0,37
83,431.0,536,596,completed,105.0,60
85,437.0,577,614,failed,140.0,37
86,443.0,579,620,completed,136.0,41
89,459.0,596,623,completed,137.0,27
87,447.0,582,639,completed,135.0,57
91,475.0,620,646,completed,145.0,26
90,470.0,614,650,completed,144.0,36
94,490.0,646,671,completed,156.0,25
93,484.0,639,672,completed,155.0,33
96,498.0,650,674,completed,152.0,24
92,482.0,623,680,completed,141.0,57
97,499.0,671,692,completed,172.0,21
100,520.0,680,715,completed,160.0,35
98,504.0,672,718,completed,168.0,46
99,512.0,674,720,completed,162.0,46
102,525.0,692,722,failed,167.0,30
108,562.0,722,752,completed,160.0,30
107,549.0,720,756,completed,171.0,36
105,542.0,715,774,completed,173.0,59
106,543.0,718,775,completed,175.0,57
112,577.0,756,783,completed,179.0,27
113,577.0,774,806,completed,197.0,32
111,569.0,752,808,completed,183.0,56
115,597.0,783,834,completed,186.0,51
118,640.0,808,839,completed,168.0,31
114,586.0,775,841,completed,189.0,66
116,619.0,806,853,completed,187.0,47
119,642.0,834,857,completed,192.0,23
125,666.0,857,878,failed,191.0,21
120,649.0,839,891,completed,190.0,52
124,662.0,853,895,completed,191.0,42
126,668.0,878,895,completed,210.0,17
122,655.0,841,899,completed,186.0,58
128,679.0,895,933,completed,216.0,38
127,668.0,891,941,completed,223.0,50
129,688.0,895,949,completed,207.0,54
130,690.0,899,953,completed,209.0,54
131,693.0,933,971,completed,240.0,38
136,716.0,953,973,completed,237.0,20
132,693.0,941,978,completed,248.0,37
141,727.0,978,990,completed,251.0,12
137,718.0,971,996,completed,253.0,25
