task_id,created_step,assigned_step,completed_step,status,time_unassigned,time_in_progress
2,15.0,15,41,completed,0.0,26
1,13.0,13,46,completed,0.0,33
3,17.0,17,47,completed,0.0,30
6,34.0,34,65,completed,0.0,31
4,24.0,24,69,failed,0.0,45
0,1.0,1,75,completed,0.0,74
10,54.0,54,79,completed,0.0,25
5,34.0,34,81,failed,0.0,47
11,58.0,58,89,completed,0.0,31
9,53.0,65,95,completed,12.0,30
7,36.0,36,95,completed,0.0,59
12,77.0,79,112,completed,2.0,33
8,39.0,47,121,failed,8.0,74
13,87.0,89,125,completed,2.0,36
14,90.0,112,148,completed,22.0,36
16,95.0,95,152,completed,0.0,57
15,95.0,125,155,completed,30.0,30
19,104.0,104,155,completed,0.0,51
24,116.0,116,158,completed,0.0,42
30,134.0,134,180,completed,0.0,46
25,119.0,119,189,failed,0.0,70
18,100.0,155,190,completed,55.0,35
17,97.0,148,194,completed,51.0,46
27,130.0,130,207,completed,0.0,77
33,166.0,166,213,failed,0.0,47
20,106.0,190,220,completed,84.0,30
31,156.0,156,221,completed,0.0,65
21,107.0,194,237,completed,87.0,43
37,196.0,196,241,completed,0.0,45
36,195.0,195,242,failed,0.0,47
41,202.0,207,259,completed,5.0,52
40,200.0,200,260,completed,0.0,60
22,108.0,220,264,completed,112.0,44
23,116.0,237,286,completed,121.0,49
46,217.0,241,286,completed,24.0,45
42,206.0,213,286,completed,7.0,73
49,229.0,259,292,completed,30.0,33
47,219.0,242,301,completed,23.0,59
26,120.0,264,304,completed,144.0,40
44,212.0,221,308,completed,9.0,87
57,281.0,292,321,completed,11.0,29
29,133.0,304,327,completed,171.0,23
28,131.0,286,330,completed,155.0,44
61,296.0,308,334,completed,12.0,26
54,271.0,286,343,failed,15.0,57
53,246.0,286,344,failed,40.0,58
51,237.0,260,348,completed,23.0,88
32,165.0,327,364,completed,162.0,37
34,173.0,330,368,completed,157.0,38
35,180.0,364,398,completed,184.0,34
38,198.0,368,413,completed,170.0,45
39,200.0,398,432,completed,198.0,34
43,210.0,413,448,completed,203.0,35
45,214.0,432,468,completed,218.0,36
50,232.0,468,493,completed,236.0,25
48,220.0,448,496,completed,228.0,48
52,239.0,493,520,completed,254.0,27
55,274.0,496,550,completed,222.0,54
56,279.0,520,565,completed,241.0,45
58,282.0,550,597,completed,268.0,47
59,292.0,565,611,completed,273.0,46
62,304.0,597,630,failed,293.0,33
64,309.0,611,635,completed,302.0,24
65,312.0,630,657,completed,318.0,27
67,317.0,635,679,completed,318.0,44
68,320.0,657,694,completed,337.0,37
69,325.0,679,714,completed,354.0,35
70,329.0,694,729,completed,365.0,35
71,336.0,714,739,completed,378.0,25
77,,729,762,completed,,33
79,,762,772,completed,,10
78,,739,772,completed,,33
81,,772,782,completed,,10
80,,772,782,completed,,10
82,,782,792,completed,,10
84,360.0,792,809,completed,432.0,17
83,355.0,782,809,completed,427.0,27
90,381.0,809,833,completed,428.0,24
85,363.0,809,844,completed,446.0,35
91,383.0,833,851,completed,450.0,18
92,386.0,844,868,completed,458.0,24
93,397.0,851,882,completed,454.0,31
94,400.0,868,907,completed,468.0,39
99,431.0,882,916,completed,451.0,34
100,432.0,907,948,completed,475.0,41
102,439.0,916,952,completed,477.0,36
106,479.0,948,972,completed,469.0,24
108,480.0,952,984,completed,472.0,32
